Study_Hours,Sleep_Hours,Coffee_Intake,Exam_Score
2.8,6.2,3.0,30.8
7.0,5.3,2.0,58.0
5.6,6.6,0.0,55.3
2.0,7.6,2.0,26.3
3.8,7.3,1.0,44.9
8.3,7.0,0.0,66.5
0.1,9.4,0.0,7.6
4.1,7.4,3.0,60.9
7.5,8.0,0.0,67.2
3.3,9.2,0.0,29.6
3.6,5.7,3.0,42.2
4.8,6.0,0.0,36.1
8.0,8.7,0.0,70.8
3.7,6.2,1.0,31.4
4.1,7.0,0.0,40.7
4.1,8.1,0.0,46.1
9.4,7.9,0.0,78.9
9.4,8.8,2.0,86.2
7.0,8.5,3.0,72.6
5.8,8.1,2.0,58.4
6.5,6.2,1.0,54.6
8.0,7.8,1.0,71.8
3.1,7.3,0.0,43.9
7.4,5.7,2.0,58.7
2.5,8.4,2.0,28.3
3.7,7.8,1.0,36.6
6.8,7.0,2.0,69.0
2.1,6.8,2.0,34.2
4.7,5.8,0.0,52.2
3.3,7.2,3.0,40.3
4.5,7.5,2.0,52.6
-0.6,6.2,0.0,5.2
1.5,8.2,0.0,20.5
3.6,5.9,1.0,34.7
6.9,4.9,2.0,57.5
4.7,8.0,3.0,44.6
5.0,6.6,1.0,47.1
6.4,6.9,3.0,68.2
3.2,6.2,1.0,39.2
5.6,5.4,0.0,51.3
